region,date,value
Africa,2017,1264
Africa,2022,997
Africa,2025,446
Americas,2017,5565
Americas,2018,1339.4
Americas,2019,994.532
Americas,2020,2698
Americas,2021,1785
Americas,2022,147
Americas,2023,6213.4
Americas,2024,2533
Americas,2025,8074
Central Asia,2020,128.1
Europe,2017,21982.7
Europe,2018,31229.6
Europe,2019,12033.86
Europe,2020,52757.25
Europe,2021,14105.2
Europe,2022,28838.6
Europe,2023,77775.12999999999
Europe,2024,76612.66
Europe,2025,38656.4
Indo-Pacific,2017,7995.8
Indo-Pacific,2018,8131.3
Indo-Pacific,2019,31245.46
Indo-Pacific,2020,39343.711
Indo-Pacific,2021,15080.4
Indo-Pacific,2022,28830
Indo-Pacific,2023,16783.11
Indo-Pacific,2024,30456
Indo-Pacific,2025,28007.7
MENA,2017,26297.45
MENA,2018,8309.9
MENA,2019,25505.2
MENA,2020,39692.85
MENA,2021,5055
MENA,2022,23045.18
MENA,2023,6174.3
MENA,2024,36262.37
MENA,2025,29043.2
