event,date
EU pledges to react to rumors of U.S. tariffs on aluminum and steel ,2025-02-09
Trump says he will announce 25 percent tariffs on the European Union (EU) ,2025-02-26
EU imposes retaliatory tariffs in response to U.S. steel and aluminum tariffs,2025-03-12
Trump threatens 200 percent tariffs on alcohol from the European Union,2025-03-13
EU delays retaliatory tariffs to mid-April,2025-03-20
EU to join Canadian WTO case against U.S. tariffs on aluminum and steel,2025-03-21
Liberation Day: 20% tariff on EU goods announced,2025-04-02
"EU votes in favor of 10 to 25 percent retaliatory tariffs on U.S. products, including tobacco, motorcycles, poultry, steel, and aluminum ",2025-04-09
"Trump announces a ninety-day pause on reciprocal tariffs, excluding China",2025-04-09
EU announces a ninety-day pause on retaliatory tariffs against the U.S. ,2025-04-10
Trump announces 50 percent tariffs on EU imports starting June 1,2025-05-23
Trump pauses 50 percent EU tariffs to July 9,2025-05-25
EU signals progress toward provisional deal with the United States ,2025-07-07
Trump sends letters announcing 30 percent tariffs on EU starting August 1 unless a new deal is signed,2025-07-12
" EU delays retaliatory tariffs on U.S. goods, citing ongoing negotiations before August 1 ",2025-07-13
EU finalizes a second list of countermeasures to target U.S. goods  ,2025-07-14
"EU readies a single retaliation package worth 93 billion euros, combining the first (April) and second (July) packages",2025-07-23
US and EU announce a new trade deal with a 15% tariff ceiling,2025-07-27
The US and EU publish details of trade agreement  ,2025-08-23
EU introduces legislation to remove tariffs on U.S. industrial goods ,2025-08-28
White House issues Executive Order 14346 to modify tariffs in compliance with trade deal,2025-09-05
U.S. lowers tariffs on EU vehicles to 15 percent ,2025-09-24
"Implementation dialogue between EU Trade and Economic Security Commissioner Maroš Šefčovič, US Commerce Secretary Howard Lutnick, and United States Trade Representative Jamieson Greer",2025-11-24
EU council adopts negotiating mandate for implementing the tariff elements of the Joint Statement,2025-11-28
